# Date:     2024-01-15 15:59:54
# Database: ocvs
# Target:   lmc_t2cep
# Query:    TRUE 
# Objects:  291
# Columns:
# ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	Remarks
OGLE-LMC-T2CEP-026	WVir	5.036542	-68.337778	-99.99	LMC125.1.6189	LMC510.31.212	-99.99	16.107	17.088	0.981	13.5936111	0.0016224	7010.21750	0.258	0.075	3.149	0.014	0.245	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	amplitude and period changes
OGLE-LMC-T2CEP-027	WVir	5.048106	-69.615972	-99.99	LMC120.5.53	LMC509.22.7014D	-99.99	15.708	-99.99	-99.99	17.1178154	0.0043956	7004.15039	0.839	0.055	0.190	0.058	3.318	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-028	pWVir	5.050239	-70.126028	-99.99	LMC120.8.47	LMC509.13.114	-99.99	15.538	16.013	0.475	8.7788297	0.0001457	7000.16030	0.217	0.140	4.832	0.065	4.714	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-029	RVTau	5.051381	-68.673528	-99.99	LMC126.2.65404	LMC510.23.23	HV2281	14.650	15.470	0.820	31.9422076	0.0052350	7026.68101	0.579	0.233	6.150	0.078	4.966	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-030	BLHer	5.059950	-68.171167	-99.99	LMC125.2.18310	LMC510.30.32280	-99.99	16.906	17.746	0.840	3.9355290	0.0000240	7003.03457	0.411	0.269	5.662	0.115	4.985	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-031	WVir	5.065597	-71.254611	-99.99	LMC122.8.13160	LMC508.12.11874	-99.99	16.669	17.562	0.893	6.7079334	0.0001138	7004.37230	0.129	0.140	0.158	0.027	0.813	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-032	RVTau	5.065642	-67.456861	-99.99	LMC116.6.1	LMC511.23.12	HV2275	13.905	15.216	1.311	44.4049142	0.0177067	7003.02531	0.320	0.106	5.555	0.083	5.656	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	RVb star (P_long = 960 d)
OGLE-LMC-T2CEP-033	pWVir	5.066433	-68.890000	LMC_SC14_174795	LMC118.8.12356	LMC510.13.334	-99.99	15.774	16.464	0.690	9.3900082	0.0002222	7005.77016	0.210	0.070	4.428	0.049	3.673	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	secondary period 76.86 d (ellipsoidal variability?)
OGLE-LMC-T2CEP-034	WVir	5.068806	-69.125444	LMC_SC14_156721	LMC119.6.66126	LMC510.05.56555	-99.99	16.244	17.340	1.096	14.9240389	0.0003764	7004.89076	0.784	0.098	1.098	0.090	2.458	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-035	WVir	5.072881	-69.345111	LMC_SC14_139172	LMC119.7.26958	LMC509.29.40703	-99.99	16.252	17.156	0.904	9.8684379	0.0002347	7008.23432	0.218	0.147	1.371	0.059	1.927	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-036	WVir	5.081067	-69.398833	LMC_SC14_200768	LMC119.7.27037	LMC509.29.40560	1/NGC1835	15.844	16.746	0.902	14.8937406	0.0002041	7013.89541	0.706	0.065	1.488	0.070	2.735	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	in globular cluster NGC 1835
OGLE-LMC-T2CEP-037	WVir	5.085189	-71.299833	-99.99	LMC122.1.85	LMC508.12.3440D	-99.99	16.670	17.523	0.853	6.8858388	0.0002722	7005.04670	0.092	0.099	0.180	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-038	pWVir	5.086342	-68.796472	LMC_SC13_30676	LMC118.7.21842	LMC510.12.56258	-99.99	16.202	16.505	0.303	4.0129715	0.0000113	7001.38419	0.474	0.497	5.402	0.265	4.442	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-039	WVir	5.086475	-67.212583	-99.99	LMC116.5.329	LMC511.22.19139	-99.99	16.313	17.188	0.875	8.7224871	0.0001461	7005.47973	0.158	0.151	0.993	0.042	1.543	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-040	pWVir	5.086617	-69.765222	-99.99	LMC120.6.64155	LMC509.21.31904	-99.99	15.822	16.548	0.726	9.6184052	0.0002701	7007.55314	0.271	0.081	4.724	0.027	3.787	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-041	BLHer	5.087558	-69.369111	LMC_SC12_37723	LMC119.7.41762	LMC509.29.41427	-99.99	16.959	17.338	0.379	2.4760479	0.0000090	7000.86362	0.248	0.263	5.185	0.077	3.953	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	secondary period 24.027 d, in globular cluster NGC 1835
OGLE-LMC-T2CEP-042	pWVir	5.095783	-69.248861	LMC_SC12_100127	LMC119.6.40524	LMC510.04.593	-99.99	16.353	16.821	0.468	4.9422112	0.0000486	7001.43873	0.209	0.253	4.581	0.072	3.010	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-043	WVir	5.100128	-69.920722	-99.99	LMC120.2.167	LMC509.21.400D	-99.99	16.882	-99.99	-99.99	6.5565172	0.0021950	7002.53036	0.086	0.000	-99.99	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-044	WVir	5.108017	-69.733000	-99.99	LMC120.3.42370	LMC509.20.33260	-99.99	16.092	17.066	0.974	13.0920280	0.0019848	7009.25004	0.171	0.110	1.365	0.024	4.930	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	variable amplitude
OGLE-LMC-T2CEP-045	RVTau	5.109458	-69.501028	-99.99	LMC119.1.11	LMC509.28.32	LMV795 HV5600	13.716	14.623	0.907	56.1572493	0.1496085	7026.09684	0.052	0.068	2.321	0.073	3.687	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-046	WVir	5.127483	-68.334972	-99.99	LMC117.1.73	LMC510.28.135	HV5598	15.589	16.358	0.769	14.7050130	0.0002941	7006.10096	0.578	0.327	5.897	0.154	4.447	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-047	WVir	5.129592	-69.616750	-99.99	LMC120.4.22552	-99.99	-99.99	16.616	17.536	0.920	7.2862123	0.0001009	7004.21542	0.116	0.133	0.450	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-048	BLHer	5.150967	-68.424389	-99.99	LMC118.4.63258	LMC510.19.51229	-99.99	17.830	18.395	0.565	1.4454894	0.0000015	7001.34782	0.683	0.377	4.289	0.178	0.776	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-049	BLHer	5.156078	-69.600861	LMC_SC11_263536	LMC112.5.48722	LMC509.27.979D	-99.99	17.142	-99.99	-99.99	3.2354241	0.0001539	7000.58102	0.381	0.227	5.181	0.075	4.413	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-050	RVTau	5.157264	-68.834722	-99.99	LMC118.1.84661	LMC510.10.57562	-99.99	14.984	15.676	0.692	34.7276364	0.0073325	7004.46389	0.203	0.293	5.787	0.073	5.409	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	uncertain
